pk,name_reverse,name_forward,vocabnames,subj_class,obj_class
292,cousin of,cousin of,PersonPersonRelation,apis_ontology.person,apis_ontology.person
293,Succeeded by,successor of,PersonPersonRelation,apis_ontology.person,apis_ontology.person
294,murderered by,murderer of,PersonPersonRelation,apis_ontology.person,apis_ontology.person
295,Rival of [REVERSE],Rival of,PersonPersonRelation,apis_ontology.person,apis_ontology.person
297,attributed to [REVERSE],attributed to,PersonWorkRelation,apis_ontology.person,apis_ontology.work
299,Certified by,Certificate for,ExpressionPersonRelation,apis_ontology.expression,apis_ontology.person
301,contains the name of,mentioned in,PersonWorkRelation,apis_ontology.person,apis_ontology.work
302,Place mentioned in [REVERSE],Place mentioned in,PlaceWorkRelation,apis_ontology.place,apis_ontology.work
307,Judge in [REVERSE],Judge in,PersonPlaceRelation,apis_ontology.person,apis_ontology.place
314,contains,part of,InstitutionInstitutionRelation,apis_ontology.institution,apis_ontology.institution
